Date,Loss
1/1/2017,0
2/1/2017,0
3/1/2017,65.76
4/1/2017,0
5/1/2017,0
6/1/2017,665.65
7/1/2017,110.67
8/1/2017,1524.9
9/1/2017,122.18
10/1/2017,0
11/1/2017,157.19
12/1/2017,773.37
1/1/2018,678.38
2/1/2018,0
3/1/2018,0
4/1/2018,648.67
5/1/2018,545.91
6/1/2018,842.42
7/1/2018,928.58
8/1/2018,361.9
9/1/2018,387.95
10/1/2018,0
11/1/2018,126.79
12/1/2018,1073.05
1/1/2019,753.82
2/1/2019,165.23
3/1/2019,1381.25
4/1/2019,804.8
5/1/2019,0
6/1/2019,1471.61
7/1/2019,431.67
8/1/2019,1102.97
9/1/2019,766.18
10/1/2019,1397.89
11/1/2019,832.48
12/1/2019,0
