Date,Loss
1/1/2017,1419.55
2/1/2017,94.41
3/1/2017,1190.12
4/1/2017,1368.38
5/1/2017,371.58
6/1/2017,644.34
7/1/2017,1983.5
8/1/2017,530.02
9/1/2017,1723.21
10/1/2017,1063.26
11/1/2017,744.69
12/1/2017,3100.73
1/1/2018,1221.51
2/1/2018,2732.9
3/1/2018,1416.27
4/1/2018,1437.69
5/1/2018,2159.85
6/1/2018,1765.75
7/1/2018,3171.21
8/1/2018,1520.01
9/1/2018,1029.26
10/1/2018,2034.41
11/1/2018,1064.83
12/1/2018,1008.87
1/1/2019,1013.16
2/1/2019,936.96
3/1/2019,1435.58
4/1/2019,1045.95
5/1/2019,921.73
6/1/2019,935.21
7/1/2019,2609.65
8/1/2019,872.95
9/1/2019,1023.65
10/1/2019,972.88
11/1/2019,1843.33
12/1/2019,1970.23
